Y,Z,MRC
-26.000,3.650,0.03
-18.000,3.610,0.03
-13.800,3.780,0.03
-13.000,3.670,0.03
-8.300,3.730,0.03
-7.600,3.590,0.03
-6.800,2.870,0.03
-6.300,2.550,0.03
-6.200,2.250,0.03
-5.600,1.850,0.03
-5.000,1.700,0.03
-4.000,1.250,0.03
-3.000,1.000,0.03
-2.000,0.670,0.03
-1.000,0.250,0.03
0.000,0.000,0.03
1.000,0.030,0.03
2.000,0.070,0.03
3.000,0.100,0.03
4.000,0.170,0.03
5.000,0.350,0.03
6.000,0.550,0.03
7.000,0.750,0.03
8.000,1.050,0.03
9.000,1.150,0.03
10.000,1.350,0.03
11.000,1.750,0.03
12.000,1.700,0.03
13.000,1.950,0.03
14.100,2.670,0.03
15.000,3.980,0.03
16.200,4.060,0.03
18.000,4.070,0.03
19.400,4.700,0.03
23.000,4.730,0.03
24.500,4.600,0.03
34.000,3.450,0.03
